trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
timestamp: 1354635818, sequence: 103761, offset:  486521461
timestamp: 1354635819, sequence: 103762, offset:  486514797
timestamp: 1354635820, sequence: 103763, offset:  486508133
timestamp: 1354635821, sequence: 103764, offset:  486501469
timestamp: 1354635822, sequence: 103765, offset:  486495805
timestamp: 1354635823, sequence: 103766, offset:  486489141
timestamp: 1354635824, sequence: 103767, offset:  486483478
timestamp: 1354635825, sequence: 103768, offset:  486478813
timestamp: 1354635826, sequence: 103769, offset:  486471149
timestamp: 1354635827, sequence: 103770, offset:  486464485
timestamp: 1354635828, sequence: 103771, offset:  486458822
timestamp: 1354635829, sequence: 103772, offset:  486451158
timestamp: 1354635830, sequence: 103773, offset:  486445492
timestamp: 1354635831, sequence: 103774, offset:  486438831
timestamp: 1354635832, sequence: 103775, offset:  486433166
timestamp: 1354635833, sequence: 103776, offset:  486432502
timestamp: 1354635834, sequence: 103777, offset:  486420838
timestamp: 1354635835, sequence: 103778, offset:  486414174
timestamp: 1354635836, sequence: 103779, offset:  486407511
timestamp: 1354635837, sequence: 103780, offset:  486400848
timestamp: 1354635838, sequence: 103781, offset:  486395183
timestamp: 1354635839, sequence: 103782, offset:  486389521
timestamp: 1354635840, sequence: 103783, offset:  486382857
timestamp: 1354635841, sequence: 103784, offset:  486377193
timestamp: 1354635842, sequence: 103785, offset:  486370530
timestamp: 1354635843, sequence: 103786, offset:  486363866
timestamp: 1354635844, sequence: 103787, offset:  486357202
timestamp: 1354635845, sequence: 103788, offset:  486350540
timestamp: 1354635846, sequence: 103789, offset:  486351876
timestamp: 1354635847, sequence: 103790, offset:  486341214
timestamp: 1354635848, sequence: 103791, offset:  486334549
timestamp: 1354635849, sequence: 103792, offset:  486328886
timestamp: 1354635850, sequence: 103793, offset:  486319223
timestamp: 1354635851, sequence: 103794, offset:  486313559
timestamp: 1354635852, sequence: 103795, offset:  486306896
timestamp: 1354635853, sequence: 103796, offset:  486301233
timestamp: 1354635854, sequence: 103797, offset:  486295570
timestamp: 1354635855, sequence: 103798, offset:  486288907
timestamp: 1354635856, sequence: 103799, offset:  486282244
timestamp: 1354635857, sequence: 103800, offset:  486275580
timestamp: 1354635858, sequence: 103801, offset:  486270918
timestamp: 1354635859, sequence: 103802, offset:  486262254
timestamp: 1354635860, sequence: 103803, offset:  486256590
timestamp: 1354635861, sequence: 103804, offset:  486249928
timestamp: 1354635862, sequence: 103805, offset:  486244266
timestamp: 1354635863, sequence: 103806, offset:  486237603
timestamp: 1354635864, sequence: 103807, offset:  486230940
timestamp: 1354635865, sequence: 103808, offset:  486225276
timestamp: 1354635866, sequence: 103809, offset:  486219614
timestamp: 1354635867, sequence: 103810, offset:  486211950
timestamp: 1354635868, sequence: 103811, offset:  486206288
timestamp: 1354635869, sequence: 103812, offset:  486200625
timestamp: 1354635870, sequence: 103813, offset:  486194962
timestamp: 1354635871, sequence: 103814, offset:  486188300
timestamp: 1354635872, sequence: 103815, offset:  486181637
timestamp: 1354635873, sequence: 103816, offset:  486175974
timestamp: 1354635874, sequence: 103817, offset:  486168311
timestamp: 1354635875, sequence: 103818, offset:  486162648
timestamp: 1354635876, sequence: 103819, offset:  486155985
timestamp: 1354635877, sequence: 103820, offset:  486149323
timestamp: 1354635878, sequence: 103821, offset:  486143660
timestamp: 1354635879, sequence: 103822, offset:  486136998
timestamp: 1354635880, sequence: 103823, offset:  486131335
timestamp: 1354635881, sequence: 103824, offset:  486126672
timestamp: 1354635882, sequence: 103825, offset:  486120011
timestamp: 1354635883, sequence: 103826, offset:  486113348
timestamp: 1354635884, sequence: 103827, offset:  486106686
timestamp: 1354635885, sequence: 103828, offset:  486099023
timestamp: 1354635886, sequence: 103829, offset:  486094360
timestamp: 1354635887, sequence: 103830, offset:  486087698
timestamp: 1354635888, sequence: 103831, offset:  486081036
timestamp: 1354635889, sequence: 103832, offset:  486074373
timestamp: 1354635890, sequence: 103833, offset:  486067711
timestamp: 1354635891, sequence: 103834, offset:  486072050
timestamp: 1354635892, sequence: 103835, offset:  486057387
timestamp: 1354635893, sequence: 103836, offset:  486051724
timestamp: 1354635894, sequence: 103837, offset:  486046063
timestamp: 1354635895, sequence: 103838, offset:  486038400
timestamp: 1354635896, sequence: 103839, offset:  486032738
timestamp: 1354635897, sequence: 103840, offset:  486024075
timestamp: 1354635898, sequence: 103841, offset:  486018414
timestamp: 1354635899, sequence: 103842, offset:  486011752
timestamp: 1354635900, sequence: 103843, offset:  486006090
timestamp: 1354635901, sequence: 103844, offset:  485999427
timestamp: 1354635902, sequence: 103845, offset:  485993766
timestamp: 1354635903, sequence: 103846, offset:  485986103
timestamp: 1354635904, sequence: 103847, offset:  485980442
timestamp: 1354635905, sequence: 103848, offset:  485973779
timestamp: 1354635906, sequence: 103849, offset:  485967118
timestamp: 1354635907, sequence: 103850, offset:  485967457
timestamp: 1354635908, sequence: 103851, offset:  485955794
timestamp: 1354635909, sequence: 103852, offset:  485948132
timestamp: 1354635910, sequence: 103853, offset:  485942471
timestamp: 1354635911, sequence: 103854, offset:  485935809
timestamp: 1354635912, sequence: 103855, offset:  485930147
timestamp: 1354635913, sequence: 103856, offset:  485922484
timestamp: 1354635914, sequence: 103857, offset:  485917824
timestamp: 1354635915, sequence: 103858, offset:  485912161
timestamp: 1354635916, sequence: 103859, offset:  485905499
timestamp: 1354635917, sequence: 103860, offset:  485898839
timestamp: 1354635918, sequence: 103861, offset:  485892177
timestamp: 1354635919, sequence: 103862, offset:  485886516
timestamp: 1354635920, sequence: 103863, offset:  485879854
timestamp: 1354635921, sequence: 103864, offset:  485873191
timestamp: 1354635922, sequence: 103865, offset:  485867530
timestamp: 1354635923, sequence: 103866, offset:  485860868
timestamp: 1354635924, sequence: 103867, offset:  485855207
timestamp: 1354635925, sequence: 103868, offset:  485847546
timestamp: 1354635926, sequence: 103869, offset:  485841884
timestamp: 1354635927, sequence: 103870, offset:  485835223
timestamp: 1354635928, sequence: 103871, offset:  485829561
timestamp: 1354635929, sequence: 103872, offset:  485823900
timestamp: 1354635930, sequence: 103873, offset:  485817239
timestamp: 1354635931, sequence: 103874, offset:  485810577
timestamp: 1354635932, sequence: 103875, offset:  485804916
timestamp: 1354635933, sequence: 103876, offset:  485797256
timestamp: 1354635934, sequence: 103877, offset:  485792594
timestamp: 1354635935, sequence: 103878, offset:  485784932
timestamp: 1354635936, sequence: 103879, offset:  485783271
timestamp: 1354635937, sequence: 103880, offset:  485775611
timestamp: 1354635938, sequence: 103881, offset:  485769949
timestamp: 1354635939, sequence: 103882, offset:  485763289
timestamp: 1354635940, sequence: 103883, offset:  485760627
timestamp: 1354635941, sequence: 103884, offset:  485750966
timestamp: 1354635942, sequence: 103885, offset:  485744305
timestamp: 1354635943, sequence: 103886, offset:  485738644
timestamp: 1354635944, sequence: 103887, offset:  485730984
timestamp: 1354635945, sequence: 103888, offset:  485723322
timestamp: 1354635946, sequence: 103889, offset:  485716661
timestamp: 1354635947, sequence: 103890, offset:  485711001
timestamp: 1354635948, sequence: 103891, offset:  485705339
timestamp: 1354635949, sequence: 103892, offset:  485697679
timestamp: 1354635950, sequence: 103893, offset:  485692018
timestamp: 1354635951, sequence: 103894, offset:  485684357
timestamp: 1354635952, sequence: 103895, offset:  485678696
timestamp: 1354635953, sequence: 103896, offset:  485673036
timestamp: 1354635954, sequence: 103897, offset:  485666374
timestamp: 1354635955, sequence: 103898, offset:  485659713
timestamp: 1354635956, sequence: 103899, offset:  485654053
timestamp: 1354635957, sequence: 103900, offset:  485648391
timestamp: 1354635958, sequence: 103901, offset:  485641732
timestamp: 1354635959, sequence: 103902, offset:  485636071
timestamp: 1354635960, sequence: 103903, offset:  485630411
timestamp: 1354635961, sequence: 103904, offset:  485623750
timestamp: 1354635962, sequence: 103905, offset:  485618090
timestamp: 1354635963, sequence: 103906, offset:  485610429
timestamp: 1354635964, sequence: 103907, offset:  485603769
timestamp: 1354635965, sequence: 103908, offset:  485598108
timestamp: 1354635966, sequence: 103909, offset:  485591447
timestamp: 1354635967, sequence: 103910, offset:  485584787
timestamp: 1354635968, sequence: 103911, offset:  485579126
timestamp: 1354635969, sequence: 103912, offset:  485572466
timestamp: 1354635970, sequence: 103913, offset:  485566805
timestamp: 1354635971, sequence: 103914, offset:  485560145
timestamp: 1354635972, sequence: 103915, offset:  485553485
timestamp: 1354635973, sequence: 103916, offset:  485553825
timestamp: 1354635974, sequence: 103917, offset:  485542164
timestamp: 1354635975, sequence: 103918, offset:  485535504
timestamp: 1354635976, sequence: 103919, offset:  485529843
timestamp: 1354635977, sequence: 103920, offset:  485522184
timestamp: 1354635978, sequence: 103921, offset:  485516523
timestamp: 1354635979, sequence: 103922, offset:  485511863
timestamp: 1354635980, sequence: 103923, offset:  485504203
timestamp: 1354635981, sequence: 103924, offset:  485514544
timestamp: 1354635982, sequence: 103925, offset:  485493883
timestamp: 1354635983, sequence: 103926, offset:  485487224
timestamp: 1354635984, sequence: 103927, offset:  485482563
timestamp: 1354635985, sequence: 103928, offset:  485474903
timestamp: 1354635986, sequence: 103929, offset:  485469243
timestamp: 1354635987, sequence: 103930, offset:  485462582
timestamp: 1354635988, sequence: 103931, offset:  485455924
timestamp: 1354635989, sequence: 103932, offset:  485450263
timestamp: 1354635990, sequence: 103933, offset:  485442604
timestamp: 1354635991, sequence: 103934, offset:  485434943
timestamp: 1354635992, sequence: 103935, offset:  485429284
timestamp: 1354635993, sequence: 103936, offset:  485422623
timestamp: 1354635994, sequence: 103937, offset:  485416963
timestamp: 1354635995, sequence: 103938, offset:  485409305
timestamp: 1354635996, sequence: 103939, offset:  485403645
timestamp: 1354635997, sequence: 103940, offset:  485396985
timestamp: 1354635998, sequence: 103941, offset:  485391325
timestamp: 1354635999, sequence: 103942, offset:  485384665
timestamp: 1354636000, sequence: 103943, offset:  485378006
timestamp: 1354636001, sequence: 103944, offset:  485371346
timestamp: 1354636002, sequence: 103945, offset:  485365687
timestamp: 1354636003, sequence: 103946, offset:  485360025
timestamp: 1354636004, sequence: 103947, offset:  485354367
timestamp: 1354636005, sequence: 103948, offset:  485347708
timestamp: 1354636006, sequence: 103949, offset:  485341047
timestamp: 1354636007, sequence: 103950, offset:  485334389
timestamp: 1354636008, sequence: 103951, offset:  485328729
timestamp: 1354636009, sequence: 103952, offset:  485322069
timestamp: 1354636010, sequence: 103953, offset:  485315411
timestamp: 1354636011, sequence: 103954, offset:  485308750
timestamp: 1354636012, sequence: 103955, offset:  485303091
timestamp: 1354636013, sequence: 103956, offset:  485296432
timestamp: 1354636014, sequence: 103957, offset:  485296773
timestamp: 1354636015, sequence: 103958, offset:  485284113
timestamp: 1354636016, sequence: 103959, offset:  485278454
timestamp: 1354636017, sequence: 103960, offset:  485270795
timestamp: 1354636018, sequence: 103961, offset:  485266135
timestamp: 1354636019, sequence: 103962, offset:  485260475
timestamp: 1354636020, sequence: 103963, offset:  485253816
timestamp: 1354636021, sequence: 103964, offset:  485246157
timestamp: 1354636022, sequence: 103965, offset:  485241498
timestamp: 1354636023, sequence: 103966, offset:  485234838
timestamp: 1354636024, sequence: 103967, offset:  485230180
timestamp: 1354636025, sequence: 103968, offset:  485221521
timestamp: 1354636026, sequence: 103969, offset:  485215862
timestamp: 1354636027, sequence: 103970, offset:  485211203
timestamp: 1354636028, sequence: 103971, offset:  485205544
timestamp: 1354636029, sequence: 103972, offset:  485199885
timestamp: 1354636030, sequence: 103973, offset:  485192227
timestamp: 1354636031, sequence: 103974, offset:  485187567
timestamp: 1354636032, sequence: 103975, offset:  485180909
timestamp: 1354636033, sequence: 103976, offset:  485171250
timestamp: 1354636034, sequence: 103977, offset:  485168590
timestamp: 1354636035, sequence: 103978, offset:  485161932
timestamp: 1354636036, sequence: 103979, offset:  485155273
timestamp: 1354636037, sequence: 103980, offset:  485146615
timestamp: 1354636038, sequence: 103981, offset:  485140955
timestamp: 1354636039, sequence: 103982, offset:  485134297
timestamp: 1354636040, sequence: 103983, offset:  485127637
timestamp: 1354636041, sequence: 103984, offset:  485120980
timestamp: 1354636042, sequence: 103985, offset:  485114319
timestamp: 1354636043, sequence: 103986, offset:  485108662
timestamp: 1354636044, sequence: 103987, offset:  485102004
timestamp: 1354636045, sequence: 103988, offset:  485096345
timestamp: 1354636046, sequence: 103989, offset:  485089686
timestamp: 1354636047, sequence: 103990, offset:  485085028
timestamp: 1354636048, sequence: 103991, offset:  485077369
timestamp: 1354636049, sequence: 103992, offset:  485071710
timestamp: 1354636050, sequence: 103993, offset:  485066052
timestamp: 1354636051, sequence: 103994, offset:  485059393
timestamp: 1354636052, sequence: 103995, offset:  485053734
timestamp: 1354636053, sequence: 103996, offset:  485045956
timestamp: 1354636054, sequence: 103997, offset:  485040050
timestamp: 1354636055, sequence: 103998, offset:  485033144
timestamp: 1354636056, sequence: 103999, offset:  485026238
timestamp: 1354636057, sequence: 104000, offset:  485020333
timestamp: 1354636058, sequence: 104001, offset:  485013427
timestamp: 1354636059, sequence: 104002, offset:  485007522
timestamp: 1354636060, sequence: 104003, offset:  485000616
timestamp: 1354636061, sequence: 104004, offset:  484993710
timestamp: 1354636062, sequence: 104005, offset:  484987807
timestamp: 1354636063, sequence: 104006, offset:  484980901
timestamp: 1354636064, sequence: 104007, offset:  484974997
timestamp: 1354636065, sequence: 104008, offset:  484968093
timestamp: 1354636066, sequence: 104009, offset:  484962188
timestamp: 1354636067, sequence: 104010, offset:  484955284
timestamp: 1354636068, sequence: 104011, offset:  484948380
timestamp: 1354636069, sequence: 104012, offset:  484943476
timestamp: 1354636070, sequence: 104013, offset:  484935571
timestamp: 1354636071, sequence: 104014, offset:  484928667
timestamp: 1354636072, sequence: 104015, offset:  484924764
timestamp: 1354636073, sequence: 104016, offset:  484918861
timestamp: 1354636074, sequence: 104017, offset:  484911957
timestamp: 1354636075, sequence: 104018, offset:  484905055
timestamp: 1354636076, sequence: 104019, offset:  484899150
timestamp: 1354636077, sequence: 104020, offset:  484893248
timestamp: 1354636078, sequence: 104021, offset:  484886345
timestamp: 1354636079, sequence: 104022, offset:  484879442
timestamp: 1354636080, sequence: 104023, offset:  484873540
timestamp: 1354636081, sequence: 104024, offset:  484867638
timestamp: 1354636082, sequence: 104025, offset:  484859736
timestamp: 1354636083, sequence: 104026, offset:  484854833
timestamp: 1354636084, sequence: 104027, offset:  484843931
timestamp: 1354636085, sequence: 104028, offset:  484838029
timestamp: 1354636086, sequence: 104029, offset:  484831128
timestamp: 1354636087, sequence: 104030, offset:  484824225
timestamp: 1354636088, sequence: 104031, offset:  484825325
timestamp: 1354636089, sequence: 104032, offset:  484812424
timestamp: 1354636090, sequence: 104033, offset:  484805522
timestamp: 1354636091, sequence: 104034, offset:  484798622
timestamp: 1354636092, sequence: 104035, offset:  484792721
timestamp: 1354636093, sequence: 104036, offset:  484785819
timestamp: 1354636094, sequence: 104037, offset:  484779919
timestamp: 1354636095, sequence: 104038, offset:  484774018
timestamp: 1354636096, sequence: 104039, offset:  484767118
timestamp: 1354636097, sequence: 104040, offset:  484760217
timestamp: 1354636098, sequence: 104041, offset:  484754317
timestamp: 1354636099, sequence: 104042, offset:  484747418
timestamp: 1354636100, sequence: 104043, offset:  484740517
timestamp: 1354636101, sequence: 104044, offset:  484733618
timestamp: 1354636102, sequence: 104045, offset:  484726719
timestamp: 1354636103, sequence: 104046, offset:  484719819
timestamp: 1354636104, sequence: 104047, offset:  484714920
